pertanyaan,Taksonomi
"Informasi yang tepat untuk mengisi kolom 1, 2, dan 3 adalah ....",C3 - Aplikasi
"Isian tabel yang tepat untuk melengkapi (a), (b), dan (c) adalah …",C3 - Aplikasi
"Salma berumur 4 tahun. Jika ia pilek , berapa dosis untuk minum obat ini ?",C4 - Analisis
Paragraf deskripsi yang tepat berdasarkan gambar adalah,C4 - Analisis
Kalimat yang sesuai untuk mendeskripsikan gambar tersebut adalah ....,C4 - Analisis
Paragraf yang sesuai gambar tersebut adalah ....,C4 - Analisis
Kalimat yang sesuai untuk mendesrripsikan gambar tersebut adalah ....,C4 - Analisis
Kalimat yang sesuai dengan gambar tersebut adalah ....,C4 - Analisis
Jenis teks bacaan tersebut adalah…,C4 - Analisis
Jenis paragraf tersebut adalah,C4 - Analisis
Jenis paragraf tersebut adalah ....,C4 - Analisis
Jenis paragraf tersebut adalah paragraf ....,C4 - Analisis
Jenis paragraf tersebut adalah ....,C4 - Analisis
Jenis paragraf tersebut adalah ....,C4 - Analisis
Jenis paragraf tersebut adalah ....,C4 - Analisis
Paragraf tersebut merupakan jenis teks ....,C4 - Analisis
Persamaan informasi kedua teks berita tersebut adalah…,C4 - Analisis
Persamaan kedua teks tersebut adalah,C4 - Analisis
Perbedaan isi kedua teks tersebut adalah ....,C4 - Analisis
Persamaan isi kedua teks tersebut adalah ....,C4 - Analisis
Persamaan kedua teks di atas adalah ....,C4 - Analisis
Persamaan kedua teks tersebut adalah ... kegiatan.,C4 - Analisis
Persamaan kedua teks tersebut adalah ....,C4 - Analisis
Persamaan kedua teks tersebut adalah ....,C4 - Analisis
Persamaan kedua teks tersebut adalah …,C4 - Analisis
Apa yang terjadi jika Pak Hardi bukan orang yang jujur?,C4 - Analisis
Peristiwa yang akan terjadi jika Mira tidak membantu ibu memasak adalah,C4 - Analisis
Hal yang akan terjadi jika induk ayam tidak pergi ke pesta malam itu adalah ....,C4 - Analisis
Prediksi yang terjadi jika burung Nuri tidak menolong lebah adalah ....,C4 - Analisis
Hal yang akan terjadi seandainya gadis kecil itu tidak memberikan barang miliknya kepada si nenek dan anak laki-laki adalah ....,C4 - Analisis
Hal yang akan terjadi jika burung gagak tidak memasukkan batu-batu kecil kedalam kendi adalah ....,C4 - Analisis
Apa yang terjadi jika pola hidup sehat tidak dibiasakan sejak kecil?,C4 - Analisis
Hal yang akan terjadi jika para pemuda tidak mengikrarkan Sumpah Pemuda adalah,C4 - Analisis
Jika timbunan sampah dedaunan tidak diletakkan di tempat teduh yang terjadi adalah ....,C4 - Analisis
Hal yang akan terjadi jika kerusakan sungai tidak teratasi adalah ....,C4 - Analisis
Hal yang akan terjadi apabila warga tidak mengetahui bahwa membersihkan lingkungan merupakan tanggungjawab mereka sendiri adalah ....,C4 - Analisis
"Bagaimana jika di dalam tubuh kita kelebihan zat hidrat? Jika kelebihan zat hidrat, maka zat tersebut akan ....",C4 - Analisis
Ibu Andi yang lupa membawa SIM akhirnya terkena ....,C4 - Analisis
Hal yang akan terjadi jika tidak ada perubahan iklim yang ekstrim adalah ....,C4 - Analisis
Hal yang akan terjadi jika penambangan pasir di dekat jembatan terus dilakukan adalah ....,C4 - Analisis
Hal yang akan terjadi jika pelajar tidak memanfaatkan gawai dengan bijak adalah ....,C4 - Analisis
Ide pokok paragraf tersebut adalah,C4 - Analisis
Ringkasan paragraf tersebut adalah,C4 - Analisis
Ide pokok paragraf tersebut adalah ....,C4 - Analisis
Ide pokok dari paragraf diatas yaitu ….,C4 - Analisis
Ide pokok dari paragraf pertama pada teks cerita diatas adalah ….,C4 - Analisis
Ide pokok paragraf tersebut adalah ....,C4 - Analisis
Ide pokok dari paragraf di atas adalah …,C4 - Analisis
Ide pokok yang terdapat dalam paragraf ketiga adalah ....,C4 - Analisis
Ide pokok paragraf tersebut adalah ....,C4 - Analisis
Ide pokok paragraf tersebut adalah ....,C4 - Analisis
Ide pokok paragraf tersebut adalah ....,C4 - Analisis
Ide pokok paragraf tersebut adalah ....,C4 - Analisis
Nilai yang terkandung dalam cerita tersebut adalah…,C4 - Analisis
Nilai moral positif tokoh Mira pada cerita tersebut adalah,C4 - Analisis
Nilai moral positif tokoh induk ayam dalam penggalan cerita tersebut adalah ....,C4 - Analisis
Nilai moral positif tokoh Reno pada cerita tersebut adalah ....,C4 - Analisis
Nilai-nilai moral penggalan cerita tersebut adalah ....,C4 - Analisis
Nilai kebaikan dari cerita tersebut adalah ....,C4 - Analisis
Bagaimana watak Kancil dalam cerita diatas?,C4 - Analisis
Keteladanan yang patut dicontoh dari Pak Hardi adalah…,C4 - Analisis
Latar tempat cerita tersebut adalah ..„,C4 - Analisis
Watak Ardi pada cerita tersebut adalah,C4 - Analisis
Amanat cerita tersebut adalah,C4 - Analisis
Keteladanan yang ditunjukkan tokoh Reno adalah,C4 - Analisis
Tokoh utama pada cerita tersebut adalah,C4 - Analisis
Tema cerita tersebut adalah,C4 - Analisis
Tokoh utama cerita tersebut adalah ....,C4 - Analisis
Latar tempat cerita tersebut adalah ....,C4 - Analisis
Watak anak kelinci pada cerita tersebut adalah …,C4 - Analisis
Awal konflik cerita tersebut adalah ....,C4 - Analisis
Amanat yang terkandung pada cerita tersebut adalah ....,C4 - Analisis
Tema cerita tersebut adalah ....,C4 - Analisis
Latar yang digunakan dalam cerita tersebut adalah ....,C4 - Analisis
Watak burung pipit dalam cerita tersebut adalah ....,C4 - Analisis
Amanat cerita tersebut adalah ....,C4 - Analisis
"Melihat kondisi Ica, Riri amat prihatin. Baiknya uang tabunganku untuk membeli sepeda atau membantupengobatan Ica ya? Tanya Riri dalam hati. Konflik batin yang dialami Riri adalah ....",C4 - Analisis
Tema teks tersebut adalah ....,C4 - Analisis
Keteladanan yang terdapat dalam teks tersebut adalah ....,C4 - Analisis
Tokoh utama dari drama tersebut adalah …,C4 - Analisis
Drama pada soal tersebut menggunakan latar …,C4 - Analisis
Amanat dari drama ini adalah …,C4 - Analisis
Siapakah nama tokoh utama pada paragraf pertama ?,C4 - Analisis
Tokoh utama dalam teks drama di atas adalah ....,C4 - Analisis
Latar waktu dalam teks drama di atas adalah ....,C4 - Analisis
Amanat yang terkandung dalam teks drama adalah…,C4 - Analisis
Tokoh utama cerita tersebut adalah ....,C4 - Analisis
Penggalan kalimat di atas menggunakan latar ....,C4 - Analisis
Watak ular dalam cerita di atas adalah ....,C4 - Analisis
Konflik yang terdapat pada kutipan cerpen tersebut adalah ....,C4 - Analisis
Amanat cerita tersebut adalah ....,C4 - Analisis
Tema cerita tersebut adalah ....,C4 - Analisis
Tokoh utama penggalan cerita tersebut adalah ....,C4 - Analisis
Latar dalam cerita tersebut adalah ....,C4 - Analisis
Watak Pertapa pada cuplikan cerita tersebut adalah ....,C4 - Analisis
Konflik yang terdapat dalam kutipan cerita tersebut adalah ....,C4 - Analisis
Amanat penggalan cerita tersebut adalah ....,C4 - Analisis
Tema penggalan cerita tersebut adalah ....,C4 - Analisis
Tokoh utama cerita tersebut adalah ....,C4 - Analisis
Latar tempat pergumulan awal Benih Benalu terdapat di ....,C4 - Analisis
Watak pohon jambu pada cerita tersebut adalah ....,C4 - Analisis
Tokoh utama pada cerita tersebut adalah …,C4 - Analisis
Latar waktu pada cerita tersebut adalah …,C4 - Analisis
Watak anak sapi pada cerita tersebut adalah …,C4 - Analisis
Amanat dari penggalan cerita tersebut adalah …,C4 - Analisis
Keteladanan yang ditunjukkan oleh tokoh Ayah adalah ....,C4 - Analisis
Simpulan dari paragraf tersebut adalah....,C4 - Analisis
Bagaimana usaha yang dilakukan Beru agar mendapat madu dan Loli? Usaha yang dilakukan Beru adalah,C4 - Analisis
Akhir cerita tersebut adalah,C4 - Analisis
Simpulan cerita tersebut adalah,C4 - Analisis
Simpulan isi cerita di atas adalah ....,C4 - Analisis
Pernyataan yang sesuai dengan puisi di atas adalah ....,C4 - Analisis
Kesimpulan dari cerita tersebut adalah ....,C4 - Analisis
Kesimpulan cerita tersebut adalah ....,C4 - Analisis
Simpulan dari penggalan cerita tersebut adalah …,C4 - Analisis
Puncak konflik cerita tersebut adalah …,C4 - Analisis
"Berdasarkan data kuota jumlah jamaah haji untuk provinsi tersebut di atas, kuota tahun 2016 untuk provinsi Jawa Timur sebanyak... jiwa.",C4 - Analisis
Simpulan isi teks percakapan di atas adalah …,C4 - Analisis
Kesimpulan dari paragraf di atas adalah ….,C4 - Analisis
Kesimpulan dari percakapan di atas adalah …,C4 - Analisis
Pernyataan yang sesuai dengan puisi di atas adalah ....,C4 - Analisis
Kesimpulan cerita tersebut adalah ....,C4 - Analisis
Puncak konflik cerita tersebut adalah …,C4 - Analisis
"Berdasarkan data kuota jumlah jamaah haji untuk provinsi tersebut di atas, kuota tahun 2016 untuk provinsi Jawa Timur sebanyak... jiwa.",C4 - Analisis
Simpulan isi teks percakapan di atas adalah …,C4 - Analisis
